planet_name,planet_alternate_name,planet_name_key,type,planetary_body_type,type_body,star_system,level,gravity,temperature,atmosphere,magnetosphere,water,planet_resources,planet_resources_count,fauna,flora,biomes_cleaned,biomes_simple,traits_cleaned,criteria_match,water_simple,temperature_intensity,pressure_intensity,atmosphere_intensity,gravity_intensity,resources_matched,bodytype_for_predictor_algorithm,temp_for_predictor_algorithm,atmotype_for_predictor_algorithm,mag_for_predictor_algorithm,water_for_predictor_algorithm,predicted_fauna,predicted_flora,fauna_result,flora_result,planet_resources_inorganics,planet_resources_organics,planet_animal_farm_resources,planet_plant_farm_resources,planet_inorganic_resources_count,planet_organic_resources_count,planet_animal_farm_resources_count,planet_plant_farm_resources_count,o2,temperature degree reading,condition,ok for 0 hab skill,temperature_atmosphere,type_body_magnetosphere,predict_irradiation
Linnaeus I,,LinnaeusI,Rock,Planet,Rock Planet,Linnaeus,45,1.61,Scorched,Extr CO2,Average,None,"Ir,U",2,None,None,"Desert-Rocky,Desert-Sandy",Desert,Unknown,58.3%,No,0,2,0,0,,4,0.3875,4,4,1,-3,-3,0,0,"Ir,U",,,,2,0,0,0,0%,115,Ambient Heat,No,Scorched Extr CO2,Rock Planet Average,0
Linnaeus II,,LinnaeusII,Rock,Planet,Rock Planet,Linnaeus,45,0.52,Cold,Thin O2,Weak,Chemical,"Ag,Ar,C6Hn,Fi,H2O,HT,Nu,OM,Pb,Pi,Se",11,Marginal (3),Marginal (3),"Mountains,Ocean,Polar-Ice","Mountains,Ocean,Ice",Unknown,58.3%,Yes,0,0,0,0,"Pi,Se",4,0.0000,6,3,3,2,0,3,3,"Ag,Ar,C6Hn,H2O,Pb","Fi,HT,Nu,OM,Pi,Se","Fi,HT,Se","Nu,OM,Pi",5,6,3,3,18%,-12,Solar Radiation,Yes,Cold Thin O2,Rock Planet Weak,0
Linnaeus II-a,,LinnaeusIIa,Barren,Moon,Barren Moon,Linnaeus,45,0.09,Cold,None,None,None,"Fe,He-3,Ta",3,Unknown,Unknown,Cratered,Craters,Unknown,50.0%,No,0,0,0,0,Fe,3,0.0000,1,1,1,-3,-3,0*,0*,"Fe,He-3,Ta",,,,3,0,0,0,,,,,Cold None,Barren Moon None,0
Linnaeus III,,LinnaeusIII,Rock,Planet,Rock Planet,Linnaeus,45,1.32,Frozen,Extr M,Average,Chemical,"Cl,Cu,F,H2O,Ni,SiH3Cl,U,xF4",8,None,None,"Desert-Rocky,Hills,Polar-Ice,SavannahBarren","Desert,Hills,Ice,Savanna",Unknown,66.7%,Yes,0,2,0,0,,4,0.2787,5,4,3,1,0,0,0,"Cl,Cu,F,H2O,Ni,SiH3Cl,U,xF4",,,,8,0,0,0,0%,-99,"Ambient Cold, Rain",No,Frozen Extr M,Rock Planet Average,0
Linnaeus III-a,,LinnaeusIIIa,Barren,Moon,Barren Moon,Linnaeus,45,0.22,Frozen,None,None,None,"Al,Be,He-3",3,Unknown,Unknown,Cratered,Craters,Unknown,50.0%,No,0,0,0,0,Al,3,0.2787,1,1,1,-3,-3,0*,0*,"Al,Be,He-3",,,,3,0,0,0,,,,,Frozen None,Barren Moon None,0
Linnaeus IV,,LinnaeusIV,Gas giant,Planet,Gas giant Planet,Linnaeus,45,2.55,Deep freeze,H2,Extreme,None,,0,Unknown,Unknown,Ocean,Ocean,Unknown,50.0%,No,1,0,0,4,,2,0.5022,3,8,1,-2,-2,0*,0*,,,,,0,0,0,0,,,,,Deep freeze H2,Gas giant Planet Extreme,0
Linnaeus IV-a,,LinnaeusIVa,Rock,Moon,Rock Moon,Linnaeus,45,0.35,Deep freeze,Thin CO2,None,None,"Co,H2O,Ir,Ni,Pb,Pt,U",7,None,None,"Desert-Rocky,Hills,Mountains","Desert,Hills,Mountains",Unknown,58.3%,No,1,0,0,0,,4,0.5022,4,1,1,-3,-3,0,0,"Co,H2O,Ir,Ni,Pb,Pt,U",,,,7,0,0,0,0%,-162,"Ambient Cold, Solar Radiation",No,Deep freeze Thin CO2,Rock Moon None,0
Linnaeus IV-b,,LinnaeusIVb,Rock,Moon,Rock Moon,Linnaeus,45,0.50,Temperate,Thin M,None,Biological,"Al,Be,Fe,H2O,He-3,HnCn,Pb,Yb",8,None,None,"Archipelago,Cratered,Desert-Rocky,Hills,Ocean,Polar-Ice,SavannahBarren","Craters,Desert,Hills,Ocean,Ice,Plateau",Unknown,83.3%,Yes,0,0,0,0,"Al,Fe",4,0.0089,5,1,5,3,1,0,0,"Al,Be,Fe,H2O,He-3,HnCn,Pb,Yb",,,,8,0,0,0,0%,33,None,Yes,Temperate Thin M,Rock Moon None,0
Linnaeus IV-c,,LinnaeusIVc,Ice,Moon,Ice Moon,Linnaeus,45,0.04,Deep freeze,None,None,Heavy metal,"H2O,Ni,Pb",3,Unknown,Unknown,Polar-Ice,Ice,Unknown,58.3%,Yes,1,0,0,0,,3,0.5022,1,1,2,-2,-2,0*,0*,"H2O,Ni,Pb",,,,3,0,0,0,,,,,Deep freeze None,Ice Moon None,0
Linnaeus V,,LinnaeusV,Barren,Planet,Barren Planet,Linnaeus,45,0.41,Deep freeze,None,Very strong,None,"Al,Eu,He-3",3,Unknown,Unknown,Cratered,Craters,Unknown,50.0%,No,1,0,0,0,Al,3,0.5022,1,6,1,-4,-4,0*,0*,"Al,Eu,He-3",,,,3,0,0,0,,,,,Deep freeze None,Barren Planet Very strong,0
Linnaeus VI,,LinnaeusVI,Ice,Planet,Ice Planet,Linnaeus,45,0.18,Deep freeze,None,None,Safe,"Co,H2O,Ni",3,Unknown,Unknown,Polar-Ice,Ice,Unknown,58.3%,Yes,1,0,0,0,,3,0.5022,1,1,6,2,0,2*,0*,"Co,H2O,Ni",,,,3,0,0,0,,,,,Deep freeze None,Ice Planet None,0
Linnaeus VII,,LinnaeusVII,Barren,Planet,Barren Planet,Linnaeus,45,0.52,Deep freeze,None,Average,None,"Al,He-3,Nd",3,Unknown,Unknown,Cratered,Craters,Unknown,50.0%,No,1,0,0,0,Al,3,0.5022,1,4,1,-4,-3,0*,0*,"Al,He-3,Nd",,,,3,0,0,0,,,,,Deep freeze None,Barren Planet Average,0
Abetti,,Abetti,Ice,Moon,Ice Moon,Lunara,25,0.22,Deep freeze,None,None,Chemical,"Ar,C6Hn,H2O,Ne",4,Unknown,Unknown,Polar-Ice,Ice,Unknown,58.3%,Yes,1,0,0,0,,3,0.5022,1,1,3,-1,-2,0*,0*,"Ar,C6Hn,H2O,Ne",,,,4,0,0,0,,,,,Deep freeze None,Ice Moon None,0
Az-Valok,Ax-Valok,AzValok,Barren,Moon,Barren Moon,Lunara,25,0.36,Deep freeze,None,None,None,"Fe,He-3",2,Unknown,Unknown,Cratered,Craters,Unknown,50.0%,No,1,0,0,0,Fe,3,0.5022,1,1,1,-3,-3,0*,0*,"Fe,He-3",,,,2,0,0,0,,,,,Deep freeze None,Barren Moon None,0
Cassini,,Cassini,Ice giant,Planet,Ice giant Planet,Lunara,25,1.19,Deep freeze,H2,Weak,None,,0,Unknown,Unknown,Ocean,Ocean,Unknown,50.0%,No,1,0,0,0,,2,0.5022,3,3,1,-1,-1,0*,0*,,,,,0,0,0,0,,,,,Deep freeze H2,Ice giant Planet Weak,0
Coeus,Scylla,Coeus,Barren,Moon,Barren Moon,Lunara,25,0.23,Frozen,None,None,None,"Fe,He-3",2,Unknown,Unknown,Cratered,Craters,Unknown,50.0%,No,0,0,0,0,Fe,3,0.2787,1,1,1,-3,-3,0*,0*,"Fe,He-3",,,,2,0,0,0,,,,,Frozen None,Barren Moon None,0
Crius,Chardbys,Crius,Barren,Moon,Barren Moon,Lunara,25,0.33,Frozen,None,None,None,"Al,He-3",2,Unknown,Unknown,Cratered,Craters,Unknown,50.0%,No,0,0,0,0,Al,3,0.2787,1,1,1,-3,-3,0*,0*,"Al,He-3",,,,2,0,0,0,,,,,Frozen None,Barren Moon None,0
Cthol,,Cthol,Ice giant,Planet,Ice giant Planet,Lunara,25,1.44,Deep freeze,H2,Very strong,None,,0,Unknown,Unknown,Ocean,Ocean,Unknown,50.0%,No,1,0,0,0,,2,0.5022,3,6,1,-1,-1,0*,0*,,,,,0,0,0,0,,,,,Deep freeze H2,Ice giant Planet Very strong,0
Earrach,,Earrach,Barren,Moon,Barren Moon,Lunara,25,0.26,Cold,None,None,None,"Fe,He-3,HnCn",3,Unknown,Unknown,Cratered,Craters,Unknown,50.0%,No,0,0,0,0,Fe,3,0.0000,1,1,1,-3,-3,0*,0*,"Fe,He-3,HnCn",,,,3,0,0,0,,,,,Cold None,Barren Moon None,0
Gaea,,Gaea,Barren,Planet,Barren Planet,Lunara,25,0.71,Frozen,None,Weak,None,"Al,He-3,Nd",3,Unknown,Unknown,Cratered,Craters,Unknown,50.0%,No,0,0,0,0,Al,3,0.2787,1,3,1,-4,-3,0*,0*,"Al,He-3,Nd",,,,3,0,0,0,,,,,Frozen None,Barren Planet Weak,0
Gasparis,,Gasparis,Ice,Moon,Ice Moon,Lunara,25,0.43,Deep freeze,None,None,Safe,"Au,Cu,F,H2O,Sb",5,Unknown,Unknown,Polar-Ice,Ice,Unknown,58.3%,Yes,1,0,0,0,,3,0.5022,1,1,6,2,0,2*,0*,"Au,Cu,F,H2O,Sb",,,,5,0,0,0,,,,,Deep freeze None,Ice Moon None,0
Lillius,,Lillius,Ice,Moon,Ice Moon,Lunara,25,0.27,Deep freeze,None,None,Chemical,"Cu,F,H2O",3,Unknown,Unknown,Polar-Ice,Ice,Unknown,58.3%,Yes,1,0,0,0,,3,0.5022,1,1,3,-1,-2,0*,0*,"Cu,F,H2O",,,,3,0,0,0,,,,,Deep freeze None,Ice Moon None,0
Numitor,,Numitor,Barren,Planet,Barren Planet,Lunara,25,0.89,Inferno,None,None,None,"Al,Be,He-3",3,Unknown,Unknown,Cratered,Craters,Unknown,50.0%,No,1,0,0,0,Al,3,1.0000,1,1,1,-3,-3,0*,0*,"Al,Be,He-3",,,,3,0,0,0,,,,,Inferno None,Barren Planet None,1
Nyarloth,,Nyarloth,Barren,Moon,Barren Moon,Lunara,25,0.39,Deep freeze,None,None,None,"Fe,He-3",2,Unknown,Unknown,Cratered,Craters,Unknown,50.0%,No,1,0,0,0,Fe,3,0.5022,1,1,1,-3,-3,0*,0*,"Fe,He-3",,,,2,0,0,0,,,,,Deep freeze None,Barren Moon None,0
Okoro,,Okoro,Gas giant,Planet,Gas giant Planet,Lunara,25,2.51,Deep freeze,H2,Extreme,None,,0,Unknown,Unknown,Ocean,Ocean,Unknown,50.0%,No,1,0,0,4,,2,0.5022,3,8,1,-2,-2,0*,0*,,,,,0,0,0,0,,,,,Deep freeze H2,Gas giant Planet Extreme,0
Okoro Alpha,,OkoroAlpha,Ice,Moon,Ice Moon,Lunara,25,0.07,Deep freeze,None,None,Safe,"Cl,H2O,SiH3Cl",3,Unknown,Unknown,Polar-Ice,Ice,Unknown,58.3%,Yes,1,0,0,0,,3,0.5022,1,1,6,2,0,2*,0*,"Cl,H2O,SiH3Cl",,,,3,0,0,0,,,,,Deep freeze None,Ice Moon None,0
Okoro Beta,,OkoroBeta,Ice,Moon,Ice Moon,Lunara,25,0.05,Deep freeze,None,None,Chemical,"Cl,H2O,SiH3Cl,Xe",4,Unknown,Unknown,Polar-Ice,Ice,Unknown,58.3%,Yes,1,0,0,0,,3,0.5022,1,1,3,-1,-2,0*,0*,"Cl,H2O,SiH3Cl,Xe",,,,4,0,0,0,,,,,Deep freeze None,Ice Moon None,0
Okoro Delta,,OkoroDelta,Ice,Moon,Ice Moon,Lunara,25,0.38,Deep freeze,None,None,Safe,"Co,H2O,Ni",3,Unknown,Unknown,Polar-Ice,Ice,Unknown,58.3%,Yes,1,0,0,0,,3,0.5022,1,1,6,2,0,2*,0*,"Co,H2O,Ni",,,,3,0,0,0,,,,,Deep freeze None,Ice Moon None,0
Okoro Epsilon,,OkoroEpsilon,Ice,Moon,Ice Moon,Lunara,25,0.11,Deep freeze,None,None,Safe,"H2O,Pb",2,Unknown,Unknown,Polar-Ice,Ice,Unknown,58.3%,Yes,1,0,0,0,,3,0.5022,1,1,6,2,0,2*,0*,"H2O,Pb",,,,2,0,0,0,,,,,Deep freeze None,Ice Moon None,0
Okoro Gamma,,OkoroGamma,Ice,Moon,Ice Moon,Lunara,25,0.05,Deep freeze,None,None,Chemical,"H2O,Ni,Pt",3,Unknown,Unknown,Polar-Ice,Ice,Unknown,58.3%,Yes,1,0,0,0,,3,0.5022,1,1,3,-1,-2,0*,0*,"H2O,Ni,Pt",,,,3,0,0,0,,,,,Deep freeze None,Ice Moon None,0
Petria,,Petria,Rock,Planet,Rock Planet,Lunara,25,1.06,Cold,Std M,Average,None,"Cu,F,H2O,Pb,xF4",5,Unknown,Unknown,"Desert-Rocky,Polar-Ice,SavannahBarren","Desert,Ice,Savanna",Unknown,50.0%,No,0,0,3,0,,4,0.0000,5,4,1,-2,-3,0*,0*,"Cu,F,H2O,Pb,xF4",,,,5,0,0,0,,,,,Cold Std M,Rock Planet Average,0
Remus,,Remus,Barren,Moon,Barren Moon,Lunara,25,0.08,Inferno,None,None,None,"Fe,He-3,HnCn",3,Unknown,Unknown,Cratered,Craters,Unknown,50.0%,No,1,0,0,0,Fe,3,1.0000,1,1,1,-3,-3,0*,0*,"Fe,He-3,HnCn",,,,3,0,0,0,,,,,Inferno None,Barren Moon None,1
Reva's World,,RevasWorld,Barren,Planet,Barren Planet,Lunara,25,0.18,Deep freeze,None,Average,None,"Al,He-3",2,Unknown,Unknown,Cratered,Craters,Unknown,50.0%,No,1,0,0,0,Al,3,0.5022,1,4,1,-4,-3,0*,0*,"Al,He-3",,,,2,0,0,0,,,,,Deep freeze None,Barren Planet Average,0
Romulus,,Romulus,Barren,Moon,Barren Moon,Lunara,25,0.11,Inferno,None,None,None,"Al,Be,He-3",3,Unknown,Unknown,Cratered,Craters,Unknown,50.0%,No,1,0,0,0,Al,3,1.0000,1,1,1,-3,-3,0*,0*,"Al,Be,He-3",,,,3,0,0,0,,,,,Inferno None,Barren Moon None,1
Uvhan,,Uvhan,Ice,Moon,Ice Moon,Lunara,25,0.25,Deep freeze,None,None,Chemical,"Ar,H2O",2,Unknown,Unknown,Polar-Ice,Ice,Unknown,58.3%,Yes,1,0,0,0,,3,0.5022,1,1,3,-1,-2,0*,0*,"Ar,H2O",,,,2,0,0,0,,,,,Deep freeze None,Ice Moon None,0
Vesta,,Vesta,Rock,Planet,Rock Planet,Lunara,25,0.63,Temperate,Std O2,Weak,Biological,"Ae,Ar,C6Hn,Cl,Cu,F,Fi,H2O,Hg,MA,Me,Nu,OM,Pb,Se,SM,Tx",17,Marginal (7),Marginal (4),"Archipelago,Desert-Rocky,Forest,Mountains,Ocean,Polar-Ice,SavannahBarren","Desert,Forest,Mountains,Ocean,Ice,Savanna",CHECK,91.7%,Yes,0,0,0,0,"Ae,Se",4,0.0089,6,3,5,5,2,7,4,"Ar,C6Hn,Cl,Cu,F,H2O,Hg,Pb","Ae,Fi,Me,MA,Nu,OM,Se,SM,Tx","Me,MA,Tx","Ae,Fi,Nu,OM,Se,SM",8,9,3,6,,,,,Temperate Std O2,Rock Planet Weak,0
Vesta Lunaris,,VestaLunaris,Barren,Moon,Barren Moon,Lunara,25,0.15,Temperate,None,None,None,"Al,He-3",2,None,None,Cratered,Craters,CHECK,75.0%,No,0,0,0,0,Al,3,0.0089,1,1,1,-3,-3,0,0,"Al,He-3",,,,2,0,0,0,,,,,Temperate None,Barren Moon None,0
Luyten's Rock,,LuytensRock,Rock,Planet,Rock Planet,Luyten's Star,5,1.30,Temperate,Std CO2,Weak,None,"Ar,Cl,Fe,H2O,He-3,HnCn,Li,Ta",8,None,None,"Hills,Ocean,Polar-Ice,SavannahBarren","Hills,Ocean,Ice,Savanna",CHECK,75.0%,No,0,0,0,0,Fe,4,0.0089,4,3,1,-3,-3,0,0,"Ar,Cl,Fe,H2O,He-3,HnCn,Li,Ta",,,,8,0,0,0,,,,,Temperate Std CO2,Rock Planet Weak,0
Maal I,,MaalI,Barren,Planet,Barren Planet,Maal,60,0.91,Inferno,None,None,None,"Fe,He-3,Yb",3,Unknown,Unknown,Cratered,Craters,Unknown,50.0%,No,1,0,0,0,Fe,3,1.0000,1,1,1,-3,-3,0*,0*,"Fe,He-3,Yb",,,,3,0,0,0,,,,,Inferno None,Barren Planet None,1
Maal I-a,,MaalIa,Barren,Moon,Barren Moon,Maal,60,0.16,Inferno,None,None,None,"Al,He-3",2,Unknown,Unknown,Cratered,Craters,Unknown,50.0%,No,1,0,0,0,Al,3,1.0000,1,1,1,-3,-3,0*,0*,"Al,He-3",,,,2,0,0,0,,,,,Inferno None,Barren Moon None,1
Maal I-b,,MaalIb,Barren,Moon,Barren Moon,Maal,60,0.11,Inferno,None,None,None,"Fe,He-3",2,Unknown,Unknown,Cratered,Craters,Unknown,50.0%,No,1,0,0,0,Fe,3,1.0000,1,1,1,-3,-3,0*,0*,"Fe,He-3",,,,2,0,0,0,,,,,Inferno None,Barren Moon None,1
Maal II,,MaalII,Rock,Planet,Rock Planet,Maal,60,0.77,Inferno,Thin CO2,Very strong,None,"Cl,Fe,Ni",3,Unknown,Unknown,"Desert-Sandy,Hills,Mountains","Desert,Hills,Mountains",Unknown,50.0%,No,1,0,0,0,Fe,4,1.0000,4,6,1,-3,-3,0*,0*,"Cl,Fe,Ni",,,,3,0,0,0,,,,,Inferno Thin CO2,Rock Planet Very strong,0
Maal II-a,,MaalIIa,Barren,Moon,Barren Moon,Maal,60,0.06,Inferno,None,None,None,"Al,He-3",2,Unknown,Unknown,Cratered,Craters,Unknown,50.0%,No,1,0,0,0,Al,3,1.0000,1,1,1,-3,-3,0*,0*,"Al,He-3",,,,2,0,0,0,,,,,Inferno None,Barren Moon None,1
Maal III,,MaalIII,Rock,Planet,Rock Planet,Maal,60,0.98,Scorched,Std O2,Powerful,None,"Au,Cu,Fe,HnCn,Pb,Ti",6,None,None,"Desert-Rocky,Mountains,SavannahBarren","Desert,Mountains,Plateau","Emerging Tectonics,Energetic Rifting,Prismatic Plumes",58.3%,No,0,0,3,0,Fe,4,0.3875,6,7,1,-2,-2,0,0,"Au,Cu,Fe,HnCn,Pb,Ti",,,,6,0,0,0,21%,248,"Ambient Heat, Toxic",No,Scorched Std O2,Rock Planet Powerful,0
Maal III-a,,MaalIIIa,Barren,Moon,Barren Moon,Maal,60,0.07,Scorched,None,None,None,,0,Unknown,Unknown,Cratered,Craters,Unknown,50.0%,No,0,0,0,0,,3,0.3875,1,1,1,-3,-3,0*,0*,,,,,0,0,0,0,,,,,Scorched None,Barren Moon None,1
Maal IV,,MaalIV,Rock,Planet,Rock Planet,Maal,60,0.99,Temperate,Std O2,Weak,Biological,"Ag,An,Cl,H2O,Hg,Ir,MA,OM,Pb,Se,SM,Sp,U",13,Marginal (4),Marginal (3),"Archipelago,Desert-Sandy,Mountains,Ocean,Wetlands","Desert,Mountains,Ocean,Wetlands",Unknown,75.0%,Yes,0,0,0,0,Se,4,0.0089,6,3,5,5,2,4,3,"Ag,Cl,H2O,Hg,Ir,Pb,U","An,MA,OM,Se,Sp,SM","An,MA,Se,Sp,SM",OM,7,6,5,1,,,,,Temperate Std O2,Rock Planet Weak,0
Maal IX,,MaalIX,Gas giant,Planet,Gas giant Planet,Maal,60,6.19,Deep freeze,H2,Massive,None,,0,Unknown,Unknown,Ocean,Ocean,Unknown,50.0%,No,1,0,0,4,,2,0.5022,3,8,1,-2,-2,0*,0*,,,,,0,0,0,0,,,,,Deep freeze H2,Gas giant Planet Massive,0
Maal IX-a,,MaalIXa,Ice,Moon,Ice Moon,Maal,60,0.04,Deep freeze,None,None,Safe,"Ar,H2O",2,Unknown,Unknown,Polar-Ice,Ice,Unknown,58.3%,Yes,1,0,0,0,,3,0.5022,1,1,6,2,0,2*,0*,"Ar,H2O",,,,2,0,0,0,,,,,Deep freeze None,Ice Moon None,0
Maal IX-b,,MaalIXb,Rock,Moon,Rock Moon,Maal,60,0.58,Frozen,Thin M,Very weak,Radioactive,"Bi,Cl,Cu,H2O,Sb,SM,U,V",8,Unknown,Unknown,"Desert-Sandy,Ocean","Desert,Ocean",Unknown,58.3%,Yes,0,0,0,0,,4,0.2787,5,2,4,2,0,2*,0*,"Cl,Cu,H2O,Sb,U,V","Bi,SM",SM,Bi,6,2,1,1,,,,,Frozen Thin M,Rock Moon Very weak,0
Maal IX-c,,MaalIXc,Ice,Moon,Ice Moon,Maal,60,0.10,Deep freeze,None,None,Safe,"Ar,C6Hn,H2O,R-COC",4,Unknown,Unknown,Polar-Ice,Ice,Unknown,58.3%,Yes,1,0,0,0,,3,0.5022,1,1,6,2,0,2*,0*,"Ar,C6Hn,H2O,R-COC",,,,4,0,0,0,,,,,Deep freeze None,Ice Moon None,0
Maal IX-d,,MaalIXd,Ice,Moon,Ice Moon,Maal,60,0.14,Deep freeze,None,None,Chemical,"Ar,C6Hn,H2O",3,Unknown,Unknown,Polar-Ice,Ice,Unknown,58.3%,Yes,1,0,0,0,,3,0.5022,1,1,3,-1,-2,0*,0*,"Ar,C6Hn,H2O",,,,3,0,0,0,,,,,Deep freeze None,Ice Moon None,0
Maal V,,MaalV,Rock,Planet,Rock Planet,Maal,60,0.77,Temperate,Std O2,Weak,Safe,"Ag,Am,Ar,Cl,Co,Fi,H2O,Hy,MA,Ni,OM,Pb,Pi,Se",14,Unknown,Unknown,"Archipelago,Forest,Mountains,Ocean,Polar-Ice","Forest,Mountains,Ocean,Ice",Unknown,91.7%,Yes,0,0,0,0,"Pi,Se",4,0.0089,6,3,6,6,3,6*,3*,"Ag,Ar,Cl,Co,H2O,Ni,Pb","Am,Fi,Hy,MA,OM,Pi,Se","Am,Fi,MA,OM,Se","Hy,Pi",7,7,5,2,,,,,Temperate Std O2,Rock Planet Weak,0
Maal V-a,,MaalVa,Barren,Moon,Barren Moon,Maal,60,0.17,Temperate,None,None,None,"Al,Be,He-3,Nd",4,Unknown,Unknown,Cratered,Craters,Unknown,66.7%,No,0,0,0,0,Al,3,0.0089,1,1,1,-3,-3,0*,0*,"Al,Be,He-3,Nd",,,,4,0,0,0,,,,,Temperate None,Barren Moon None,0
Maal VI,,MaalVI,Gas giant,Planet,Gas giant Planet,Maal,60,4.89,Frozen,H2,Extreme,None,,0,Unknown,Unknown,Ocean,Ocean,Unknown,50.0%,No,0,0,0,4,,2,0.2787,3,8,1,-2,-2,0*,0*,,,,,0,0,0,0,,,,,Frozen H2,Gas giant Planet Extreme,0
Maal VI-a,,MaalVIa,Rock,Moon,Rock Moon,Maal,60,0.34,Frozen,Thin O2,None,Safe,"Al,Be,Cl,H2O,He-3,Li,Pb,U",8,None,None,"Cratered,Desert-Rocky,Mountains,Polar-Ice","Craters,Desert,Mountains,Ice",Unknown,66.7%,Yes,0,0,0,0,Al,4,0.2787,6,1,6,4,2,0,0,"Al,Be,Cl,H2O,He-3,Li,Pb,U",,,,8,0,0,0,0%,-88,"Ambient Cold, Solar Radiation",Yes,Frozen Thin O2,Rock Moon None,0
Maal VI-b,,MaalVIb,Ice,Moon,Ice Moon,Maal,60,0.14,Frozen,None,None,Chemical,"Cu,F,H2O",3,Unknown,Unknown,Polar-Ice,Ice,Unknown,58.3%,Yes,0,0,0,0,,3,0.2787,1,1,3,-1,-2,0*,0*,"Cu,F,H2O",,,,3,0,0,0,,,,,Frozen None,Ice Moon None,0
Maal VI-c,,MaalVIc,Ice,Moon,Ice Moon,Maal,60,0.33,Frozen,None,None,Safe,"Cl,H2O",2,Unknown,Unknown,Polar-Ice,Ice,Unknown,58.3%,Yes,0,0,0,0,,3,0.2787,1,1,6,2,0,2*,0*,"Cl,H2O",,,,2,0,0,0,,,,,Frozen None,Ice Moon None,0
Maal VII,,MaalVII,Rock,Planet,Rock Planet,Maal,60,1.40,Frozen,High M,Powerful,Chemical,"Cu,F,H2O,Ni,Pb,Pt,W,xF4",8,None,None,"Desert-Rocky,Mountains,Polar-Ice,Tablelands","Desert,Mountains,Ice,Plateau",Unknown,66.7%,Yes,0,0,0,0,,4,0.2787,5,7,3,2,0,0,0,"Cu,F,H2O,Ni,Pb,Pt,W,xF4",,,,8,0,0,0,0%,-127,Ambient Cold,Yes,Frozen High M,Rock Planet Powerful,0
Maal VIII,,MaalVIII,Rock,Planet,Rock Planet,Maal,60,0.80,Frozen,High N2,Weak,Chemical,"Cl,Cu,Fe,H2O,Ir,Ni,U,V",8,None,None,"Desert-Rocky,Mountains,Polar-Ice,SavannahBarren","Desert,Mountains,Ice,Plateau",Unknown,66.7%,Yes,0,0,3,0,Fe,4,0.2787,2,3,3,-1,-2,0,0,"Cl,Cu,Fe,H2O,Ir,Ni,U,V",,,,8,0,0,0,0%,-140,"Ambient Cold, Corrosive",No,Frozen High N2,Rock Planet Weak,0
Maal VIII-a,,MaalVIIIa,Ice,Moon,Ice Moon,Maal,60,0.03,Frozen,None,None,Safe,"Cl,H2O,SiH3Cl",3,Unknown,Unknown,Polar-Ice,Ice,Unknown,58.3%,Yes,0,0,0,0,,3,0.2787,1,1,6,2,0,2*,0*,"Cl,H2O,SiH3Cl",,,,3,0,0,0,,,,,Frozen None,Ice Moon None,0
Maal X,,MaalX,Ice,Planet,Ice Planet,Maal,60,0.14,Deep freeze,None,None,Chemical,"Co,H2O,Ni",3,Unknown,Unknown,Polar-Ice,Ice,Unknown,58.3%,Yes,1,0,0,0,,3,0.5022,1,1,3,-1,-2,0*,0*,"Co,H2O,Ni",,,,3,0,0,0,,,,,Deep freeze None,Ice Planet None,0
Maheo I,,MaheoI,Rock,Planet,Rock Planet,Maheo,1,0.39,Temperate,Thin M,Weak,Safe,"Ag,Ar,C6Hn,Cl,Co,Fi,H2O,Ni,Nu,Pb",10,Marginal (0),Marginal (3),"Archipelago,Forest,Hills,Ocean,Polar-Ice","Forest,Hills,Ocean,Ice","Diseased Biosphere, Global Glacial Recession",91.7%,Yes,0,0,0,0,,4,0.0089,5,3,6,6,3,0,3,"Ag,Ar,C6Hn,Cl,Co,H2O,Ni,Pb","Fi,Nu",Nu,Fi,8,2,1,1,,,,,Temperate Thin M,Rock Planet Weak,0
Maheo II,,MaheoII,Rock,Planet,Rock Planet,Maheo,1,0.52,Frozen,Thin N2,Average,Safe,"Cu,Fe,H2O,He-3,HnCn,Pb,xF4,Yb",8,None,None,"Cratered,Desert-Rocky,Mountains,Polar-Ice","Craters,Desert,Mountains,Ice",Unknown,66.7%,Yes,0,0,0,0,Fe,4,0.2787,2,4,6,4,2,0,0,"Cu,Fe,H2O,He-3,HnCn,Pb,xF4,Yb",,,,8,0,0,0,,,,,Frozen Thin N2,Rock Planet Average,0
Maheo III,,MaheoIII,Barren,Planet,Barren Planet,Maheo,1,1.85,Frozen,None,Very strong,None,"Al,Be,He-3",3,None,None,Cratered,Craters,Unknown,58.3%,No,0,0,0,0,Al,3,0.2787,1,6,1,-4,-4,0,0,"Al,Be,He-3",,,,3,0,0,0,,,,,Frozen None,Barren Planet Very strong,0
Maheo III-a,,MaheoIIIa,Barren,Moon,Barren Moon,Maheo,1,0.17,Frozen,None,None,None,"Al,Be,He-3",3,None,None,Unknown,Unknown,Unknown,58.3%,No,0,0,0,0,Al,3,0.2787,1,1,1,-3,-3,0,0,"Al,Be,He-3",,,,3,0,0,0,,,,,Frozen None,Barren Moon None,0
Maheo III-b,,MaheoIIIb,Barren,Moon,Barren Moon,Maheo,1,0.10,Frozen,None,None,None,"Al,He-3",2,None,None,Cratered,Craters,Unknown,58.3%,No,0,0,0,0,Al,3,0.2787,1,1,1,-3,-3,0,0,"Al,He-3",,,,2,0,0,0,,,,,Frozen None,Barren Moon None,0
